1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,
 0000-CUN-0001 ,A,FABRICA DE MUEBLES LA MORENA                      ,              ,B,           ,         ,26-jun-02, ,              ,              ,              ,                                                  ,PARQUE INDUSTRIAL PUERTO MORELOS                  ,         ,MX,"CANCUN, QRO         ",     ,ALEXIS SAAD              ,ALEXIS SAAD            ,988 494684    ,                                                  ,                                                  ,              ,              ,CCM,DESCRIPTIVE,USD,   ,0,0,30,0000-CUN-0001 ,              , 
 0000-CUN-0002 ,A,"ANAKA, S.A. DE C.V.                               ",              ,B,           ,         ,08-jul-02, ,              ,              ,              ,                                                  ,"PUNTA AZUL 13, SM29, MZ14, LT11                   ",         ,MX,"CANCUN, QROO.       ",     ,LUIS CASTILLO            ,LUIS CASTILLO          ,8924413,                                                  ,                                                  ,              ,              ,CCM,DESCRIPTIVE,USD,   ,0,0,30,0000-CUN-0002 ,ANA950221SX9  , 
 0000-GDL-0001 ,A,SECURICOR INTERNATIONAL                           ,              , ,           ,         ,17-jun-02, ,              ,              ,              ,                                                  ,APTO. INT. MIGUEL HIDALGO                         ,         ,MX,"GUADALAJARA,JAL     ",     ,AGCIA ADUANAL. JC. DELGAD,NACY MERLO             ,              ,                                                  ,                                                  ,              ,              ,CCM,DESCRIPTIVE,USD,   ,0,0,30,0000-GDL-0001 ,              , 
 0000-LAP-0001 ,A,CARLOS FLORES                                     ,LAP001        ,D,           ,         ,05-sep-02, ,              ,              ,              ,                                                  ,LA PAZ                                            ,         ,MX,LA PAZ              ,LAP  ,                         ,                       ,              ,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,SPA,0,0,30,0000-LAP-001  ,              , 
 0000-LAP-0003 ,A,MANUEL DAVIS YEE                                  ,              ,B,           ,         ,05-sep-02, ,              ,              ,              ,                                                  ,LAP                                               ,         ,MX,LAP                 ,LAP  ,                         ,                       ,              ,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,30,0000-LAP-0003 ,              , 
 0000-MEX-0001 ,A,MARIA DEL PILAR FONSECA (MAPY FLOWERS)            ,MAPYFLOWERS   ,D,           ,         ,30-may-02, ,              ,              ,              ,                                                  ,AV. V. GUERRERO 241                               ,73080,MX,"XICOTEPEC, PUE      ",PUE  ,MARIA DEL PILAR FONSECA  ,                       ,7647641622,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,ESP,0,0,30,0000-MEX-0001 ,FOMP7310158A6 , 
 0000-MEX-0002 ,A,RED PACK SA DE CV                                 ,MEX002        ,D,           ,         ,28-jun-02, ,              ,              ,              ,CALLE 6 N. 189                                    ,COL AGRICOLA PANTITLAN                            ,         ,MX,MEXICO              ,MEX,                         ,FRANCISCO RODRIQUEZ    ,              ,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,30,0000-MEX-0002 ,              , 
 0000-MEX-0003 ,A,DULCES LA CASA DEL ARTESANO                       ,              ,B,           ,         ,28-jun-02, ,              ,              ,              ,                                                  ,"REVOLUCION NO. 868, LOC 5 Y 6                     ",         ,MX,COL. CENTRO. TIJUANA,     ,HECTOR YERENA            ,HECTOR YERENA          ,56846672,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,30,0000-MEX-0003 ,              , 
 0000-MEX-0004 ,A,NOTMUSA S.A. DE C.V.                              ,              ,B,           ,         ,09 AUG 2002, ,              ,              ,              ,                                                  ,MEXICO D.F.                                       ,         ,MX,MEX                 ,     ,                         ,                       ,50896114,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,30,0000-MEX-0004 ,              , 
 0000-MID-0002 ,A,"DESARROLLO ACUICOLA DEL SURESTE,SA CV             ",              ,B,           ,         ,07-jun-02, ,              ,              ,              ,                                                  ,"CALLE 30 S/N, POR 51 Y 53                         ",         ,MX,"HUNUCMA, YUCATAN    ",YUC  ,ALEJANDRO FLORES         ,ALEJANDRO FLORES       ,9812927,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,30,0000-MID-0002 ,DAS960603     , 
 0000-MID-0003 ,A,"AGRIMAR, S.A. DE C.V.                             ",              ,B,           ,         ,01-jul-02, ,              ,              ,              ,                                                  ,"BAHIA MAGDALENA 355, FRAC.ACAPUL                  ",         ,MX,"ENSENADA,B.C.       ",BC   ,JORGE URIBE              ,JORGE URIBE            ,6461767192,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,30,0000-MID-0003 ,AGR950817159  , 
 0000-TIJ-0001 ,A,EDUARDO GARCIA                                    ,              ,B,           ,         ,17-sep-02, ,              ,              ,              ,AGENCIA ADUANAL                                   ,BLVD.BELLAS ARTES 17686-105                       ,         ,MX,FRACC. GARITA DE OTA,TIJ  ,ENRIQUE MARTINEZ         ,ENRIQUE MARTINEZ       ,6475301,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,SPA,0,0,30,0000-TIJ-0001 ,GAGE710507BK1 , 
1,C,SKYPOSTAL                                         ,              , ,           ,         ,07-mar-16,N,              ,              ,              ,                                                  ,7805 NW 15 STREET                                 ,33126,US,MIAMI               ,fl   ,                         ,ANDY HERNANDEZ         ,3055991812,                                                  ,                                                  ,              ,              ,COM,DESCRIPTIVE,USD,   ,0,0,   ,1102-3225-5143,              , 
2,C,TRITON LOGISTICS INC                              ,              , ,           ,         ,18 APR 2016,N,              ,              ,              ,                                                  ,12650 NW 25                                       ,33182,US,MIAMI               ,FL   ,                         ,TONY ITURRIAGA         ,Tel: 786-406-1,                                                  ,                                                  ,              ,              ,COM,DESCRIPTIVE,USD,   ,0,0,   ,1102-3225-5143,              , 
7443,A,DHL Global Forwarding Mexico SA                   ,              ,D,           ,         ,06-sep-07, ,              ,              ,              ,                                                  ,Fundidora Monterrey No. 97                        ,15520,MX,MEXICO D.F          ,MEX  ,                         ,Mario Lopez            ,              ,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,   ,              ,DGF920601fy6  , 
 0001-0001-0001,G,GUIAS CANCELADAS                                  ,              , ,           ,         ,30-mar-00, ,              ,              ,              ,                                                  ,X                                                 ,         ,X ,X                   ,X    ,                         ,                       ,              ,                                                  ,                                                  ,              ,              ,CMT,DESCRIPTIVE,MXN,ESP,0,0,30,0001-0001-0001,              , 
11116853,C,ECO LOGISTIKA MX                                  ,              , ,           ,         ,23-sep-13, ,              ,              ,              ,NAPOLES                                           ,Av Insurgentes 863 07th                           ,3810,MX,MEXICO              ,DF   ,MIGUEL ISASSI PAVLOVICH  ,ALEJANDRO ESPINOSA     ,52 55 50056937,                                                  ,                                                  ,              ,              ,CMX,eBILLING   ,USD,ESP,0,0,   ,              ,ISL120303UD8  , 
14821,A,SERV. PROFESIONALES DE IMPRESION                  ,              ,B,           ,         ,23 AUG 2007, ,              ,              ,              ,                                                  ,MIMOSAS #31                                       ,6430,MX,"MEXICO, DF          ",MEX  ,                         ,RODRIGO ARRIAGA DE LA  ,51170100,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,ESP,0,0,   ,              ,SPI880324T24  , 
 0002-0002-0002,A,GUIAS VIEJAS-INTERNACIONAL                        ,2,B,           ,         ,30-sep-11, ,              ,              ,              ,AV. TEXCOCO                                       ,COL PE ON DE LOS BA OS                            ,15520,MX,D.F.                ,MEX  ,                         ,                       ,              ,                                                  ,                                                  ,              ,              ,CRD,DESCRIPTIVE,MXN,   ,0,0,30,0002-0002-0002,              , 
